Timestamp,CPU_Usage(%),RAM_Used(%),Disk_Free(GB),Process_Count
2026-02-02 17:20:36,5.0,50.8,951.58,43
2026-02-02 17:20:46,1.4,50.8,951.58,44
2026-02-02 17:20:55,1.6,50.9,951.58,44
2026-02-02 17:21:05,0.4,50.9,951.58,44
2026-02-02 17:21:15,0.1,51.0,951.58,44
2026-02-02 17:21:24,0.1,51.1,951.58,44
2026-02-02 17:21:34,0.9,51.0,951.58,44
2026-02-02 17:21:44,1.5,51.2,951.58,47
2026-02-02 17:21:53,1.4,51.1,951.58,47
2026-02-02 17:22:03,0.1,51.2,951.58,44
2026-02-02 17:22:13,0.1,51.1,951.58,44
2026-02-02 17:24:52,3.9,50.4,951.58,47
2026-02-02 17:25:01,0.4,50.5,951.58,45
2026-02-02 17:25:11,1.4,50.5,951.58,45
2026-02-02 17:25:21,0.9,50.7,951.58,45
2026-02-02 17:25:31,1.0,50.4,951.58,45
2026-02-02 17:25:40,0.9,50.6,951.58,45
2026-02-02 17:25:50,0.0,50.5,951.58,45
2026-02-02 17:26:00,0.1,50.6,951.58,45
2026-02-02 17:26:09,0.0,50.6,951.58,45
2026-02-02 17:27:46,3.6,50.7,951.58,49
2026-02-02 17:27:47,3.6,50.9,951.58,49
2026-02-02 17:27:57,1.0,51.1,951.58,46
2026-02-02 17:28:07,0.9,51.0,951.58,46
2026-02-02 17:29:38,2.9,51.0,951.58,51
2026-02-02 17:29:47,1.0,51.1,951.58,46
2026-02-02 17:29:57,1.0,51.2,951.58,46
2026-02-02 17:30:07,0.9,51.3,951.58,46
2026-02-02 17:30:16,0.0,51.4,951.58,46
2026-02-02 17:30:26,0.2,51.3,951.58,46
2026-02-02 17:30:36,0.0,51.2,951.58,46
2026-02-02 17:30:45,0.9,51.3,951.58,46
2026-02-02 17:30:55,1.2,51.2,951.58,46
2026-02-02 17:31:05,0.6,51.1,951.58,46
2026-02-02 17:31:15,0.4,51.0,951.58,46
2026-02-02 17:31:24,0.0,50.9,951.58,46
2026-02-02 17:31:34,0.0,51.0,951.58,46
2026-02-02 17:31:44,1.1,51.1,951.58,46
2026-02-02 17:31:53,1.0,51.1,951.58,46
2026-02-02 17:34:22,3.5,51.7,951.58,49
2026-02-02 17:34:31,0.2,51.8,951.58,47
2026-02-02 17:34:41,0.4,51.8,951.58,47
2026-02-02 17:34:51,1.0,51.8,951.58,47
2026-02-02 17:35:00,1.0,51.9,951.59,47
2026-02-02 17:35:10,1.2,51.9,951.59,47
2026-02-02 17:35:20,0.2,51.7,951.59,47
